"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval"
"S08000016","Health board","NHS Borders",2012,"2010 to 2014 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2.6,2.3,7.2,0.4
"S08000016","Health board","NHS Borders",2013,"2011 to 2015 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2,1.8,6.6,0.2
"S08000016","Health board","NHS Borders",2014,"2012 to 2016 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",1.8,1.7,6.4,0.2
"S08000016","Health board","NHS Borders",2015,"2013 to 2017 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2.2,2.1,7.2,0.3
"S08000016","Health board","NHS Borders",2016,"2014 to 2018 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2.8,2.7,8.3,0.5
"S08000016","Health board","NHS Borders",2017,"2015 to 2019 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2.6,2.6,8.3,0.4
"S08000016","Health board","NHS Borders",2018,"2016 to 2020 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2.6,2.7,8.6,0.5
"S08000016","Health board","NHS Borders",2019,"2017 to 2021 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2.2,2.4,8.2,0.3
"S08000017","Health board","NHS Dumfries & Galloway",2004,"2002 to 2006 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5,3.6,8.4,1.2
"S08000017","Health board","NHS Dumfries & Galloway",2005,"2003 to 2007 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5.4,3.8,8.6,1.3
"S08000017","Health board","NHS Dumfries & Galloway",2006,"2004 to 2008 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5.8,4,8.8,1.4
"S08000017","Health board","NHS Dumfries & Galloway",2007,"2005 to 2009 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",6.4,4.4,9.3,1.7
"S08000017","Health board","NHS Dumfries & Galloway",2008,"2006 to 2010 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",7,4.8,9.8,1.9
"S08000017","Health board","NHS Dumfries & Galloway",2009,"2007 to 2011 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",6.2,4.3,9.2,1.6
"S08000017","Health board","NHS Dumfries & Galloway",2010,"2008 to 2012 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5.4,3.8,8.5,1.3
"S08000017","Health board","NHS Dumfries & Galloway",2011,"2009 to 2013 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5.2,3.7,8.5,1.2
"S08000017","Health board","NHS Dumfries & Galloway",2012,"2010 to 2014 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5,3.7,8.5,1.2
"S08000017","Health board","NHS Dumfries & Galloway",2013,"2011 to 2015 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",4.6,3.5,8.3,1
"S08000017","Health board","NHS Dumfries & Galloway",2014,"2012 to 2016 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5.2,4,9.1,1.3
"S08000017","Health board","NHS Dumfries & Galloway",2015,"2013 to 2017 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",4.8,3.7,8.8,1.2
"S08000017","Health board","NHS Dumfries & Galloway",2016,"2014 to 2018 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",4.4,3.5,8.6,1
"S08000017","Health board","NHS Dumfries & Galloway",2017,"2015 to 2019 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",4.8,3.9,9.2,1.2
"S08000017","Health board","NHS Dumfries & Galloway",2018,"2016 to 2020 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",3.8,3.1,8.2,0.8
"S08000017","Health board","NHS Dumfries & Galloway",2019,"2017 to 2021 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",3.4,2.9,8,0.7
"S08000019","Health board","NHS Forth Valley",2004,"2002 to 2006 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",14.2,4.7,7.8,2.6
"S08000019","Health board","NHS Forth Valley",2005,"2003 to 2007 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",13.2,4.2,7.1,2.2
"S08000019","Health board","NHS Forth Valley",2006,"2004 to 2008 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",13.2,4,6.9,2.2
"S08000019","Health board","NHS Forth Valley",2007,"2005 to 2009 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",13,3.9,6.7,2.1
"S08000019","Health board","NHS Forth Valley",2008,"2006 to 2010 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",11,3.3,5.9,1.6
"S08000019","Health board","NHS Forth Valley",2009,"2007 to 2011 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",11.8,3.5,6.2,1.8
"S08000019","Health board","NHS Forth Valley",2010,"2008 to 2012 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",12.6,3.8,6.6,2
"S08000019","Health board","NHS Forth Valley",2011,"2009 to 2013 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",11.8,3.7,6.4,1.9
"S08000019","Health board","NHS Forth Valley",2012,"2010 to 2014 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",10.6,3.3,6,1.6
"S08000019","Health board","NHS Forth Valley",2013,"2011 to 2015 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9.8,3.2,5.9,1.5
"S08000019","Health board","NHS Forth Valley",2014,"2012 to 2016 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9.6,3.2,5.9,1.5
"S08000019","Health board","NHS Forth Valley",2015,"2013 to 2017 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9.8,3.3,6.1,1.6
"S08000019","Health board","NHS Forth Valley",2016,"2014 to 2018 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9,3.1,5.9,1.4
"S08000019","Health board","NHS Forth Valley",2017,"2015 to 2019 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",8.6,3.1,5.9,1.4
"S08000019","Health board","NHS Forth Valley",2018,"2016 to 2020 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",8.6,3.1,6.1,1.4
"S08000019","Health board","NHS Forth Valley",2019,"2017 to 2021 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",8.4,3.1,6.1,1.4
"S08000020","Health board","NHS Grampian",2004,"2002 to 2006 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",24.4,4.5,6.7,2.9
"S08000020","Health board","NHS Grampian",2005,"2003 to 2007 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",25.4,4.6,6.7,3
"S08000020","Health board","NHS Grampian",2006,"2004 to 2008 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",23.4,4.1,6.1,2.6
"S08000020","Health board","NHS Grampian",2007,"2005 to 2009 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",21.8,3.6,5.5,2.3
"S08000020","Health board","NHS Grampian",2008,"2006 to 2010 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",21.6,3.5,5.3,2.2
"S08000020","Health board","NHS Grampian",2009,"2007 to 2011 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",19.2,3.1,4.8,1.8
"S08000020","Health board","NHS Grampian",2010,"2008 to 2012 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",20.2,3.2,4.9,1.9
"S08000020","Health board","NHS Grampian",2011,"2009 to 2013 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",21,3.3,5.1,2.1
"S08000020","Health board","NHS Grampian",2012,"2010 to 2014 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",22.4,3.6,5.4,2.2
"S08000020","Health board","NHS Grampian",2013,"2011 to 2015 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",21.4,3.4,5.2,2.1
"S08000020","Health board","NHS Grampian",2014,"2012 to 2016 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",21,3.3,5.1,2.1
"S08000020","Health board","NHS Grampian",2015,"2013 to 2017 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",17.6,2.8,4.5,1.7
"S08000020","Health board","NHS Grampian",2016,"2014 to 2018 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",16,2.6,4.2,1.5
"S08000020","Health board","NHS Grampian",2017,"2015 to 2019 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",13,2.2,3.7,1.2
"S08000020","Health board","NHS Grampian",2018,"2016 to 2020 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",14,2.4,4.1,1.3
"S08000020","Health board","NHS Grampian",2019,"2017 to 2021 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",15.6,2.8,4.6,1.6
"S08000022","Health board","NHS Highland",2004,"2002 to 2006 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9.2,3.2,6,1.5
"S08000022","Health board","NHS Highland",2005,"2003 to 2007 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",8.6,2.9,5.6,1.3
"S08000022","Health board","NHS Highland",2006,"2004 to 2008 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9.2,3,5.7,1.4
"S08000022","Health board","NHS Highland",2007,"2005 to 2009 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9.8,3.2,5.9,1.5
"S08000022","Health board","NHS Highland",2008,"2006 to 2010 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9.6,3.1,5.7,1.4
"S08000022","Health board","NHS Highland",2009,"2007 to 2011 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",10.2,3.2,5.9,1.6
"S08000022","Health board","NHS Highland",2010,"2008 to 2012 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",10.8,3.4,6.1,1.7
"S08000022","Health board","NHS Highland",2011,"2009 to 2013 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",10.8,3.5,6.2,1.7
"S08000022","Health board","NHS Highland",2012,"2010 to 2014 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9.4,3,5.7,1.4
"S08000022","Health board","NHS Highland",2013,"2011 to 2015 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9,3,5.6,1.4
"S08000022","Health board","NHS Highland",2014,"2012 to 2016 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",7,2.4,4.8,0.9
"S08000022","Health board","NHS Highland",2015,"2013 to 2017 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5.6,1.9,4.3,0.7
"S08000022","Health board","NHS Highland",2016,"2014 to 2018 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5.6,2,4.4,0.7
"S08000022","Health board","NHS Highland",2017,"2015 to 2019 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",6.2,2.3,4.8,0.8
"S08000022","Health board","NHS Highland",2018,"2016 to 2020 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",6.4,2.4,5.1,0.9
"S08000022","Health board","NHS Highland",2019,"2017 to 2021 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",6.6,2.5,5.4,1
"S08000024","Health board","NHS Lothian",2004,"2002 to 2006 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",39.2,4.6,6.2,3.3
"S08000024","Health board","NHS Lothian",2005,"2003 to 2007 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",39,4.4,6.1,3.2
"S08000024","Health board","NHS Lothian",2006,"2004 to 2008 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",40.6,4.5,6.1,3.2
"S08000024","Health board","NHS Lothian",2007,"2005 to 2009 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",40.6,4.3,5.9,3.1
"S08000024","Health board","NHS Lothian",2008,"2006 to 2010 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",36.8,3.8,5.3,2.7
"S08000024","Health board","NHS Lothian",2009,"2007 to 2011 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",35.2,3.6,5,2.5
"S08000024","Health board","NHS Lothian",2010,"2008 to 2012 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",34.8,3.5,4.9,2.5
"S08000024","Health board","NHS Lothian",2011,"2009 to 2013 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",32.8,3.4,4.7,2.3
"S08000024","Health board","NHS Lothian",2012,"2010 to 2014 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",32.4,3.3,4.7,2.3
"S08000024","Health board","NHS Lothian",2013,"2011 to 2015 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",33.8,3.5,4.9,2.4
"S08000024","Health board","NHS Lothian",2014,"2012 to 2016 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",32.6,3.4,4.8,2.3
"S08000024","Health board","NHS Lothian",2015,"2013 to 2017 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",30.2,3.2,4.6,2.2
"S08000024","Health board","NHS Lothian",2016,"2014 to 2018 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",31.2,3.4,4.8,2.3
"S08000024","Health board","NHS Lothian",2017,"2015 to 2019 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",30.6,3.4,4.8,2.3
"S08000024","Health board","NHS Lothian",2018,"2016 to 2020 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",28,3.2,4.6,2.1
"S08000024","Health board","NHS Lothian",2019,"2017 to 2021 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",27.6,3.2,4.7,2.1
"S08000025","Health board","NHS Orkney",2004,"2002 to 2006 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.6,3.3,27,0
"S08000025","Health board","NHS Orkney",2005,"2003 to 2007 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.8,4.3,28.2,0
"S08000025","Health board","NHS Orkney",2006,"2004 to 2008 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.6,3.1,25,0
"S08000025","Health board","NHS Orkney",2007,"2005 to 2009 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.6,3,24.3,0
"S08000025","Health board","NHS Orkney",2008,"2006 to 2010 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.8,3.9,25.7,0
"S08000025","Health board","NHS Orkney",2009,"2007 to 2011 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.8,4,25.9,0
"S08000025","Health board","NHS Orkney",2010,"2008 to 2012 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.8,3.9,25.6,0
"S08000025","Health board","NHS Orkney",2011,"2009 to 2013 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.8,4,26,0
"S08000025","Health board","NHS Orkney",2012,"2010 to 2014 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.6,3,24.6,0
"S08000025","Health board","NHS Orkney",2013,"2011 to 2015 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.4,2,22.8,0
"S08000025","Health board","NHS Orkney",2014,"2012 to 2016 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.4,2.1,23.5,0
"S08000025","Health board","NHS Orkney",2015,"2013 to 2017 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.2,1.1,21.8,0
"S08000025","Health board","NHS Orkney",2016,"2014 to 2018 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.2,1.1,22.2,0
"S08000025","Health board","NHS Orkney",2017,"2015 to 2019 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.2,1.1,22.2,0
"S08000025","Health board","NHS Orkney",2018,"2016 to 2020 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0,0,20.1,0
"S08000025","Health board","NHS Orkney",2019,"2017 to 2021 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.2,1.1,22.5,0
"S08000026","Health board","NHS Shetland",2004,"2002 to 2006 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2,8.4,30.5,0.9
"S08000026","Health board","NHS Shetland",2005,"2003 to 2007 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2.4,9.8,32.2,1.5
"S08000026","Health board","NHS Shetland",2006,"2004 to 2008 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",3,12,35.1,2.4
"S08000026","Health board","NHS Shetland",2007,"2005 to 2009 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2.4,9.3,30.4,1.4
"S08000026","Health board","NHS Shetland",2008,"2006 to 2010 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2.6,9.8,30.7,1.6
"S08000026","Health board","NHS Shetland",2009,"2007 to 2011 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2,7.7,27.7,0.9
"S08000026","Health board","NHS Shetland",2010,"2008 to 2012 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",1.6,6,24.6,0.4
"S08000026","Health board","NHS Shetland",2011,"2009 to 2013 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.2,0.8,15.5,0
"S08000026","Health board","NHS Shetland",2012,"2010 to 2014 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.4,1.5,17.2,0
"S08000026","Health board","NHS Shetland",2013,"2011 to 2015 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",0.2,0.8,16.1,0
